"loudness","mode","speechiness"
-3.678,1,0.0383
-5.917,1,0.0409
-8.14,0,0.0369
-5.135,0,0.0319
-5.362,1,0.0868
-6.609,1,0.0276
-17.438,1,0.0495
-9.699,0,0.0338
-10.644,1,0.0359
-11.883,0,0.0301
-8.794,1,0.0448
-10.784,1,0.0351
-9.427,1,0.0309
-23.422,1,0.0463
-18.007,1,0.0417
-13.997,0,0.0332
-14.076,0,0.0466
-14.063,0,0.0368
-12.154,0,0.0283
-13.554,1,0.0364
-10.153,1,0.0343
-5.186,0,0.0819
-7.635,0,0.0292
-8.337,0,0.0303
-9.66,0,0.0299
-13.011,1,0.0285
-16.614,1,0.0429
-9.579,0,0.0336
-15.455,1,0.0388
-16.314,1,0.033
-21.955,0,0.0644
-13.252,1,0.0401
-25.566,0,0.0652
-16.668,1,0.0427
-17.389,1,0.0362
-17.026,1,0.0706
-22.8,1,0.0704
-24.962,1,0.0621
-16.483,1,0.0433
-8.906,0,0.0249
-7.447,1,0.0279
-7.285,0,0.0315
-10.692,1,0.0267
-18.762,1,0.0364
-14.154,1,0.0359
-11.462,0,0.0429
-14.005,0,0.038
-13.067,1,0.0357
-19.05,0,0.0564
-16.411,1,0.054
-11.994,0,0.0388
-12.637,0,0.0331
-16.189,0,0.0601
-13.509,0,0.039
-13.315,0,0.0451
-4.376,1,0.0244
-6.987,1,0.0349
-4.298,1,0.0245
-5.003,1,0.0282
-4.043,0,0.0376
-4.141,1,0.0272
-5.13,1,0.0245
-4.198,1,0.0576
-4.609,0,0.165
-4.263,1,0.138
-4.886,1,0.0332
-12.18,1,0.0505
-10.979,0,0.0837
-9.998,1,0.0462
-10.526,1,0.0268
-3.463,1,0.0828
-5.993,0,0.0285
-7.222,1,0.0255
-11.471,0,0.0319
-6.676,1,0.0295
-9.002,1,0.0244
-7.282,1,0.0328
-14.934,1,0.0286
-8.076,1,0.0286
-4.704,1,0.0331
-7.153,1,0.0288
-8.282,1,0.0259
-10.644,1,0.0335
-8.045,1,0.0308
-7.5,1,0.03
-7.556,1,0.0348
-9.311,1,0.0438
-7.747,1,0.0317
-10.599,1,0.0283
-18.979,1,0.0356
-7.408,1,0.058
-12.467,1,0.0329
-10.537,0,0.0286
-13.269,1,0.0358
-5.684,0,0.0419
-4.666,1,0.0279
-4.323,0,0.0604
-3.955,1,0.0395
-8.102,1,0.0312
-4,1,0.0438
-2.388,0,0.0404
-3.966,1,0.0582
-1.553,0,0.0459
-13.595,1,0.0281
-5.807,0,0.0312
-10.115,1,0.0494
-9.454,1,0.0331
-6.08,1,0.0623
-8.888,0,0.0333
-9.605,1,0.0924
-8.183,1,0.0597
-9.165,0,0.0589
-9.02,1,0.0799
-9.236,0,0.0501
-8.839,1,0.0332
-6.818,0,0.0962
